boost_name,top_k,use_level_filter,hit_rate,mrr
equal,3,True,0.8787878787878788,0.7752525252525253
equal,3,False,0.7272727272727273,0.5972222222222223
equal,5,True,0.9242424242424242,0.7862373737373738
equal,5,False,0.8181818181818182,0.6191919191919192
equal,10,True,0.9772727272727273,0.7939784752284754
equal,10,False,0.9015151515151515,0.6309223184223185
topic_focused,3,True,0.8863636363636364,0.7689393939393939
topic_focused,3,False,0.7348484848484849,0.6098484848484849
topic_focused,5,True,0.946969696969697,0.7825757575757575
topic_focused,5,False,0.7954545454545454,0.6242424242424243
topic_focused,10,True,0.9621212121212122,0.7844997594997595
topic_focused,10,False,0.9015151515151515,0.6384199134199133
correction_focused,3,True,0.8939393939393939,0.7866161616161615
correction_focused,3,False,0.7727272727272727,0.6237373737373738
correction_focused,5,True,0.946969696969697,0.7994949494949494
correction_focused,5,False,0.8333333333333334,0.6385101010101011
correction_focused,10,True,0.9621212121212122,0.8016594516594516
correction_focused,10,False,0.9166666666666666,0.6499308561808564
rule_focused,3,True,0.8712121212121212,0.7651515151515151
rule_focused,3,False,0.7196969696969697,0.5808080808080809
rule_focused,5,True,0.9318181818181818,0.7795454545454545
rule_focused,5,False,0.7954545454545454,0.5982323232323233
rule_focused,10,True,0.9772727272727273,0.7854136604136605
rule_focused,10,False,0.9090909090909091,0.6148929773929775
